id,name,zip_code,county,full_address,geometry
D6315,MASONIC PATHWAYS,48801,GRATIOT,"1200 WRIGHT ROAD, ALMA, MI","[-84.66919109999999, 43.3877854]"
A1346,MERRILL FABRICATORS,48801,GRATIOT,"520 REPUBLIC ST, ALMA, MI","[-84.6390835, 43.3815002]"
N5224,"MICHIGAN PAVING & MATERIALS, ALMA TERMINAL",48801,GRATIOT,"1950 WILLIAMS ST, ALMA, MI","[-84.6298545, 43.3851315]"
D6394,MID MICHIGAN MEDICAL CENTER - GRATIOT,48801,GRATIOT,"300 WARWICK DR, ALMA, MI","[-84.6634414, 43.3906048]"
N6810,MIDWEST AUTO CENTER INC,48801,GRATIOT,"3440 W MONROE RD, ALMA, MI","[-84.6764336, 43.4084155]"
N7951,"MRP PROPERTIES COMPANY, LLC",48801,GRATIOT,"1925 E SUPERIOR ST, ALMA, MI","[-84.63072129999999, 43.3789272]"
B2864,"SHILOH INDUSTRIES, LLC",48801,GRATIOT,"250 ADAMS AVENUE, ALMA, MI","[-84.6300105, 43.3899104]"
M2326,ACE TOOL & ENGINEERING,48809,IONIA,"500  REED STREET, BELDING, MI","[-85.22137520000001, 43.1020289]"
N3748,"BELDING TANK TECHNOLOGIES, INC.",48809,IONIA,"200 N GOODING ST., BELDING, MI","[-85.21121939999999, 43.1008109]"
P0691,DYNAMIC CRUSHING LLC,48809,IONIA,"11621 BELDING RD NE, BELDING, MI","[-85.3807621, 43.0826923]"
A1702,KASSOUNI MANUFACTURING INC,48809,IONIA,"815 S FRONT ST, BELDING, MI","[-85.23423919999999, 43.0909934]"
B1650,MUELLER BRASS CO,48809,IONIA,"302 ASHFIELD, BELDING, MI","[-85.2227073, 43.1005171]"
N5619,PITSCH SANITARY LANDFILL,48809,IONIA,"7905 JOHNSON RD, BELDING, MI","[-85.1747145, 43.1028909]"
B1652,"ROBROY ENCLOSURES, INC.",48809,IONIA,"500 MAPLE ST, BELDING, MI","[-85.2351525, 43.0927636]"
M4235,"SPECTRUM E-COAT, INC.",48809,IONIA,"226 CRAWFORD ST, BELDING, MI","[-85.2251428, 43.1009751]"
N1112,W MICHIGAN AUTO STEEL & EN,48809,IONIA,"550 E ELLIS, BELDING, MI","[-85.22228539999999, 43.1035786]"
P0676,WIESEN POWDER COAT,48809,IONIA,"8634 STOREY ROAD, BELDING, MI","[-85.2616966, 43.1106223]"
F6726,CRYSTAL REFINING CO.,48811,MONTCALM,"801 N WILLIAMS ST, CARSON CITY, MI","[-84.8514048, 43.18073589999999]"
N6873,DTE ELECTRIC COMPANY - RENAISSANCE POWER PLANT,48811,MONTCALM,"950 N. DIVISION STREET, CARSON CITY, MI","[-84.84631, 43.1851804]"
N1611,ALIVE,48813,EATON,"800 W. LAWRENCE, CHARLOTTE, MI","[-84.848811, 42.5659469]"
N3140,CHARLOTTE ANODIZING PRODUCTS,48813,EATON,"591 E PACKARD HWY, CHARLOTTE, MI","[-84.8273025, 42.5826976]"
D1428,CHARLOTTE HIGH SCHOOL,48813,EATON,"378 STATE STREET, CHARLOTTE, MI","[-84.8510917, 42.55840999999999]"
B6189,CITY OF CHARLOTTE WASTE WATER TREATMENT PLANT,48813,EATON,"1005 PAINE DR., CHARLOTTE, MI","[-84.8241833, 42.5482236]"
D1263,EATON FARM BUREAU CO-OP,48813,EATON,"2328 E CLINTON TRAIL, CHARLOTTE, MI","[-84.7913088, 42.5511035]"
B1589,L L JOHNSON LUMBER MFG CO,48813,EATON,"563 N COCHRAN, CHARLOTTE, MI","[-84.8371616, 42.570999]"
N6818,LINN PRODUCTS INC,48813,EATON,"1200 LIPSEY DRIVE, CHARLOTTE, MI","[-84.82958409999999, 42.58432759999999]"
N7920,MICHIGAN PALLET INC,48813,EATON,"1100 PACKARD HWY, CHARLOTTE, MI","[-84.81563829999999, 42.581943]"
K3061,PARKVIEW ELEMENTARY SCHOOL,48813,EATON,"301 E. KALAMO, CHARLOTTE, MI","[-84.8311871, 42.5395251]"
N0823,S P KISH INDUSTRIES INC,48813,EATON,"600 W SEMINARY ST, CHARLOTTE, MI","[-84.8430352, 42.5600119]"
N2503,"SPARTAN FIRE, LLC",48813,EATON,"1663 REYNOLDS RD, CHARLOTTE, MI","[-84.8497885, 42.5458207]"
N3427,TEAM ONE CHEVROLET,48813,EATON,"1616 LANSING RD., CHARLOTTE, MI","[-84.8048891, 42.5828299]"
P1175,UTILIMASTER CORPORATION,48813,EATON,"1111 MIKESELL STREET, CHARLOTTE, MI","[-84.8494626, 42.5488627]"
N4052,ADVANCED AIR TECHNOLOGIES,48817,SHIAWASSEE,"300 SLEESEMAN DR, CORUNNA, MI","[-84.121166, 42.99314589999999]"
N6363,CIE NEWCOR MTG,48817,SHIAWASSEE,"1021 N SHIAWASSEE, CORUNNA, MI","[-84.12025919999999, 42.994122]"
A6497,MERIDIAN BRICK,48817,SHIAWASSEE,"3820 E. SERR RD., CORUNNA, MI","[-84.0770165, 42.9940353]"
P0307,PINCIK FARMS - EDWARD G PINCIK,48817,SHIAWASSEE,"1405 N KERBY ROAD, CORUNNA, MI","[-84.0700294, 43.0199654]"
N6654,WOLVERINE PIPE LINE COMPANY,48819,INGHAM,"2499 GRIMES RD, DANSVILLE, MI","[-84.2439524, 42.5112218]"
N3273,INNOVATIVE ENGINEERING,48820,CLINTON,"1541 W ROUND LAKE RD, DEWITT, MI","[-84.553197, 42.8451739]"
P1087,GREEN PEAK INNOVATIONS LLC,48821,EATON,"10070 HARVEST PARK, DIMONDALE, MI","[-84.6411804, 42.6838874]"
