epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
MAJOR,B6527,MIDLAND COGENERATION VENTURE,100 E. Progress Place,MIDLAND,48640,MIDLAND,BAY CITY,WITKOPPB,"100 E. Progress Place, MIDLAND, MI 48640"
MAJOR,B7013,"HURON CASTING, INC (BLUE DIAMOND STEEL CASTING)",7050  HARTLEY ST. & 125 STURM RD,PIGEON,48755,HURON,BAY CITY,SHAFFERA1,"7050  HARTLEY ST. & 125 STURM RD, PIGEON, MI 48755"
MINOR,B7748,TUSCOLA MINERALS CO,4702  SAGINAW RD,VASSAR,48768,TUSCOLA,BAY CITY,WITKOPPB,"4702  SAGINAW RD, VASSAR, MI 48768"
MAJOR,K2460,CENTRAL MICHIGAN UNIVERSITY,1720 S. East Campus Drive,MOUNT PLEASANT,48859,ISABELLA,BAY CITY,WITKOPPB,"1720 S. East Campus Drive, MOUNT PLEASANT, MI 48859"
MINOR,M2713,TAYLOR ENTRANCE SYSTEMS,631 N FIRST ST,WEST BRANCH,48661,OGEMAW,BAY CITY,GENTLEN,"631 N FIRST ST, WEST BRANCH, MI 48661"
MINOR,N1519,THOMPSON MARINE PRODUCTS INC.,7535  Martin Rd.,SAINT CHARLES,48655,SAGINAW,BAY CITY,MCCANNG2,"7535  Martin Rd., SAINT CHARLES, MI 48655"
MINOR,N2336,MATERIAL CONTROL,130  SELTZER RD,CROSWELL,48422,SANILAC,BAY CITY,SHAFFERA1,"130  SELTZER RD, CROSWELL, MI 48422"
MAJOR,N2383,DGP INC.,3260  FENNER ST.,MARLETTE,48453,SANILAC,BAY CITY,SHAFFERA1,"3260  FENNER ST., MARLETTE, MI 48453"
MINOR,N2505,"TIERCON COMPONENTS, INC.",50  Enterprise Dr.,VASSAR,48768,TUSCOLA,BAY CITY,MCCANNG2,"50  Enterprise Dr., VASSAR, MI 48768"
MAJOR,N5397,"PEOPLES LANDFILL, INC.",4143  E. Rathbun Rd.,BIRCH RUN,48415,SAGINAW,BAY CITY,MCCANNG2,"4143  E. Rathbun Rd., BIRCH RUN, MI 48415"
MAJOR,N5985,WHITEFEATHER LANDFILL,2401 E. Whitefeather Road,PINCONNING,48650,BAY,BAY CITY,MCCANNG2,"2401 E. Whitefeather Road, PINCONNING, MI 48650"
MAJOR,N6004,CITY OF MIDLAND UTILITIES DIVISION,4311 E. Ashman St.,MIDLAND,48642,MIDLAND,BAY CITY,MCCANNG2,"4311 E. Ashman St., MIDLAND, MI 48642"
MAJOR,N6007,TRI-CITY LANDFILL,426 N. Ruth Rd.,CARSONVILLE,48419,SANILAC,BAY CITY,GENTLEN,"426 N. Ruth Rd., CARSONVILLE, MI 48419"
MAJOR,N6010,NORTHERN OAKS RECYCLING AND DISPOSAL FACILITY,513 N. County Farm Road,HARRISON,48625,CLARE,BAY CITY,GENTLEN,"513 N. County Farm Road, HARRISON, MI 48625"
MAJOR,A3900,"MARTIN MARIETTA MAGNESIA SPECIALTIES, LLC",1800  Eastlake Rd.,MANISTEE,49660,MANISTEE,CADILLAC,CHILDSK,"1800  Eastlake Rd., MANISTEE, MI 49660"
