epa_class,srn,facility_name,address_line1,city,zip,county,egle_district,staff,address_full
MINOR,N2417,CRAMER TECH COATING INC,6055 JACKSON RD,DEXTER,48130,WASHTENAW,JACKSON,KOVALCHICKM,"6055 JACKSON RD, DEXTER, MI 48130"
MINOR,A6801,DANMAR PRODUCTS,221 JACKSON INDUSTRIAL,ANN ARBOR,48103,WASHTENAW,JACKSON,KOVALCHICKM,"221 JACKSON INDUSTRIAL, ANN ARBOR, MI 48103"
,B2580,MAXITROL CO,235 SUGAR ST,BLISSFIELD,49228,LENAWEE,JACKSON,WEEMSS,"235 SUGAR ST, BLISSFIELD, MI 49228"
MINOR,A2867,DST INDUSTRIES,11900 CLINTON ST,CLINTON,49236,LENAWEE,JACKSON,GABORM,"11900 CLINTON ST, CLINTON, MI 49236"
,N5708,S W INTL RECYCLING CORP,1747 MICHIGAN AVE,CLINTON,49236,LENAWEE,JACKSON,LANCASTERE1,"1747 MICHIGAN AVE, CLINTON, MI 49236"
MINOR,K2590,HERRICK HOSPITAL,500 E POTTAWATAMIE,TECUMSEH,49286,LENAWEE,JACKSON,GABORM,"500 E POTTAWATAMIE, TECUMSEH, MI 49286"
MINOR,M3926,CLAYS AUTO BODY,2189 DELHI NE,HOLT,48842,INGHAM,LANSING,LUPLOWM1,"2189 DELHI NE, HOLT, MI 48842"
SM OPT OUT,N7927,W2FUEL LLC,1571 W BEECHER RD,ADRIAN,49221,LENAWEE,JACKSON,KOVALCHICKM,"1571 W BEECHER RD, ADRIAN, MI 49221"
MINOR,A1919,BLU-SURF,8550 E MICHIGAN AVE,PARMA,49269,JACKSON,JACKSON,MAILLARDM,"8550 E MICHIGAN AVE, PARMA, MI 49269"
,D6558,KEN STILLWELL FORD,378 BECK RD,HILLSDALE,49242,HILLSDALE,JACKSON,CARLEYB,"378 BECK RD, HILLSDALE, MI 49242"
MINOR,A6727,MICHIGAN LADDER CO,12 E FOREST AVE,YPSILANTI,48197,WASHTENAW,JACKSON,KOVALCHICKM,"12 E FOREST AVE, YPSILANTI, MI 48197"
,N7923,"QUALITY FOOD BRANDS, INC.",317 W FRONT ST,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"317 W FRONT ST, MONROE, MI 48161"
,N5170,AMERICAN RESOURCE RECOVERY,2929 E FRONT ST,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"2929 E FRONT ST, MONROE, MI 48161"
,N7924,AYLING CUNNINGHAM ASPHALT PAVING,LAPLAISSANCE RD,MONROE,48161,MONROE,JACKSON,MACLEODR,"LAPLAISSANCE RD, MONROE, MI 48161"
,B8148,BARRON & SON,612 DANS AVE,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"612 DANS AVE, MONROE, MI 48161"
,B8029,BARRON & SON,87 JEROME ST,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"87 JEROME ST, MONROE, MI 48161"
,B6758,BARRON & SON,1002 US-25,ERIE,48133,MONROE,JACKSON,KAVANAUGHD,"1002 US-25, ERIE, MI 48133"
,M3185,COLBY VETERINARY CLINIC,905 N TELEGRAPH,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"905 N TELEGRAPH, MONROE, MI 48161"
MINOR,M3184,DANNY'S FINE FOOD,1002 W ELM,MONROE,48161,MONROE,JACKSON,MACLEODR,"1002 W ELM, MONROE, MI 48161"
,N7925,ED HARDWOOD BUICK PONTIAC,6095 N MONROE ST,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"6095 N MONROE ST, MONROE, MI 48161"
,G5185,LAWRENCE TECHNOLOGICAL UNIVERSITY,21000 WEST TEN MILE RD,SOUTHFIELD,48075,OAKLAND,WARREN,ELMOUCHIR,"21000 WEST TEN MILE RD, SOUTHFIELD, MI 48075"
MINOR,A4919,ROSS DECCO CO.,2435 HILTON,FERNDALE,48220,OAKLAND,WARREN,ELMOUCHIR,"2435 HILTON, FERNDALE, MI 48220"
,N7926,WOODYARD TOOL & MFG,6200 SECTION RD,MILAN,48160,MONROE,JACKSON,KAVANAUGHD,"6200 SECTION RD, MILAN, MI 48160"
,M3828,TERRA INTERNATIONAL,560 WABASH ST,MILAN,48160,MONROE,JACKSON,KAVANAUGHD,"560 WABASH ST, MILAN, MI 48160"
,B6091,ROYSTER CLARK,380 E MONROE ST,DUNDEE,48131,MONROE,JACKSON,KAVANAUGHD,"380 E MONROE ST, DUNDEE, MI 48131"
,N2887,MOMENTUM LINCOLN MERCURY,15354 S MONROE ST,MONROE,48161,MONROE,JACKSON,KAVANAUGHD,"15354 S MONROE ST, MONROE, MI 48161"
,F6701,WHITEFORD AGRICULTURAL SCHOOLS,6655 CONSEAR RD,OTTAWA LAKE,49267,MONROE,JACKSON,KAVANAUGHD,"6655 CONSEAR RD, OTTAWA LAKE, MI 49267"
,M2046,ADDISON COMMUNITY HOSPITAL,421 N STEER ST,ADDISON,49220,LENAWEE,JACKSON,KAVANAUGHD,"421 N STEER ST, ADDISON, MI 49220"
MINOR,B2621,FLOYD’S RIGGING & MACHINERY MOVERS,831 DIVISION ST,ADRIAN,49221,LENAWEE,JACKSON,WEEMSS,"831 DIVISION ST, ADRIAN, MI 49221"
MINOR,E8510,ADRIAN COLLEGE,110 S MADISON ST,ADRIAN,49221,LENAWEE,JACKSON,WEEMSS,"110 S MADISON ST, ADRIAN, MI 49221"
,E8613,ADRIAN TANKAGE,2549 HOWELL HWY,ADRIAN,49221,LENAWEE,JACKSON,LANCASTERE1,"2549 HOWELL HWY, ADRIAN, MI 49221"
MINOR,M2457,SISTERS OF DOMINICAN,1257 E SIENNA HGTS DR,ADRIAN,49221,LENAWEE,JACKSON,WEEMSS,"1257 E SIENNA HGTS DR, ADRIAN, MI 49221"
,N1288,UARCO INC,1357 DIVISION ST,ADRIAN,49221,LENAWEE,JACKSON,LANCASTERE1,"1357 DIVISION ST, ADRIAN, MI 49221"
,N1803,AMCO,545 INDUSTRIAL DR,ADRIAN,49221,LENAWEE,JACKSON,LANCASTERE1,"545 INDUSTRIAL DR, ADRIAN, MI 49221"
,N5736,BORCHARDT BROS SPARTAN,628 W ADRIAN,BLISSFIELD,49221,LENAWEE,JACKSON,GABORM,"628 W ADRIAN, BLISSFIELD, MI 49221"
MINOR,N4047,MCNAUGHTON & GUNN,960 WOODLAND DR,SALINE,48176,WASHTENAW,JACKSON,KOVALCHICKM,"960 WOODLAND DR, SALINE, MI 48176"
,N7934,FOREST FLOOR COMPOSTING,2550 PORTER RD,WHITE LAKE,48383,OAKLAND,WARREN,KELLYK6,"2550 PORTER RD, WHITE LAKE, MI 48383"
MINOR,N7935,MICHIGAN KITCHEN DISTRIBUTORS,106 E OLIVER,MARSHALL,49068,CALHOUN,KALAMAZOO,CHAPELA,"106 E OLIVER, MARSHALL, MI 49068"
,M4359,MECCOM CORP,5945 MARTIN ST,DETROIT,48210,WAYNE,DETROIT,ACEVEDOJ1,"5945 MARTIN ST, DETROIT, MI 48210"
,N7936,GARHAS LLC,3300 WEST MICHIGAN AVE,BATTLE CREEK,49017,CALHOUN,KALAMAZOO,CHAPELA,"3300 WEST MICHIGAN AVE, BATTLE CREEK, MI 49017"
,N7937,BOOK CADILLAC,1114 WASHINGTON BLVD,DETROIT,48226,WAYNE,DETROIT,HEMBENT,"1114 WASHINGTON BLVD, DETROIT, MI 48226"
MINOR,N7938,FERGUSON ENTERPRISE INC,14385 WYOMING,DETROIT,48238,WAYNE,DETROIT,VARNERL,"14385 WYOMING, DETROIT, MI 48238"
MINOR,M2984,SUPERIOR PONTIAC BUICK GMC NISSAN,15101 MICHIGAN AVE,DETROIT,48126,WAYNE,DETROIT,HEMBENT,"15101 MICHIGAN AVE, DETROIT, MI 48126"
MINOR,B2164,FIAT CHRYSLER AUTOMOBILES CONNER CENTER,20000 CONNER,DETROIT,48234,WAYNE,DETROIT,WEISS,"20000 CONNER, DETROIT, MI 48234"
,N7939,COLLISION ON WHEELS,21730 SCHOENERR,WARREN,48089,MACOMB,WARREN,,"21730 SCHOENERR, WARREN, MI 48089"
MINOR,N7940,NORTH KENT SEWER AUTHORITY,4775 COIT AVE,GRAND RAPIDS,49505,KENT,GRAND RAPIDS,COXM9,"4775 COIT AVE, GRAND RAPIDS, MI 49505"
MINOR,N2739,DOWNS INDUSTRIES,715 N MAIN ST,LAWTON,49065,VAN BUREN,KALAMAZOO,BENAWAYR,"715 N MAIN ST, LAWTON, MI 49065"
MINOR,N7941,REC BOAT HOLDINGS - CABINETRY,701 6TH ST,CADILLAC,49601,WEXFORD,GAYLORD,LEBLANCS,"701 6TH ST, CADILLAC, MI 49601"
MINOR,N7942,BEDNARYCZK FARMS LLC,8209 VAN DYKE RD,MARLETTE,48453,LAPEER,LANSING,MCGEEND,"8209 VAN DYKE RD, MARLETTE, MI 48453"
SM OPT OUT,N7943,WARD LAKE ENERGY VIENNA 18 CPF,NW NW SE SEC 18,VIENNA TWP,49735,MONTMORENCY,CADILLAC,DICKMANR,"NW NW SE SEC 18, VIENNA TWP, MI 49735"
,N5607,CHARTER TWP OF COMMERCE WWTP,649 WELCH RD,COMMERCE TWP,48390,OAKLAND,WARREN,KONANAHALLII,"649 WELCH RD, COMMERCE TWP, MI 48390"
MINOR,N7944,VCP MICHIGAN - ASE 8,NW NE NW SEC 18,LEWISTON,49756,MONTMORENCY,CADILLAC,DICKMANR,"NW NE NW SEC 18, LEWISTON, MI 49756"
MINOR,B6264,ACE CONCRETE PRODUCTS CO,25235 JOY RD,MOUNT CLEMENS,48043,MACOMB,WARREN,PINGAR,"25235 JOY RD, MOUNT CLEMENS, MI 48043"
,B7379,ACE CONCRETE PRODUCTS CO,,RICHMOND,48062,MACOMB,WARREN,KONANAHALLII,
,N7945,ACE CONTROLS INC(SRN SHOULDN'T HAVE BEEN ASSIGNED!,25238 JOY BLVD,FARMINGTN HLS,,OAKLAND,WARREN,KONANAHALLII,
,A3258,ADAMS UNITED CORP FABRICATED,22728 HOOVER,WARREN,48089,MACOMB,WARREN,KONANAHALLII,"22728 HOOVER, WARREN, MI 48089"
MINOR,N2005,AFCO MFG CORP,428 COGSHALL,HOLLY,48442,OAKLAND,WARREN,KONANAHALLII,"428 COGSHALL, HOLLY, MI 48442"
,M4821,AJAX PAVING INDUSTRIES INC,ONE AJAX DR,MADISON HTS,,OAKLAND,WARREN,KALLUMKALS,
MINOR,N3771,ALL-TYPE TRUCK BODY,1330 HILTON,FERNDALE,,OAKLAND,WARREN,KONANAHALLII,
,N2544,AMCOR PET PACKAGING,43500 GEN-MAR DR,NOVI,48375,OAKLAND,WARREN,KONANAHALLII,"43500 GEN-MAR DR, NOVI, MI 48375"
MINOR,N2637,PRORESTORE AND DETROIT CUSTOM COACH,13201 Northend Avenue,OAK PARK,48237,OAKLAND,WARREN,KELLYK6,"13201 Northend Avenue, OAK PARK, MI 48237"
MINOR,N1902,BROOKS UTILITY PRODUCTS,23890 INDUSTRIAL DR,FARMINGTN HLS,,OAKLAND,WARREN,KONANAHALLII,
MINOR,B8065,MARATHON WIXOM FUEL STOP (B8065),29330 WIXOM RD,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"29330 WIXOM RD, WIXOM, MI 48393"
MINOR,B7387,BIT-CON CORP,,SOUTHFIELD,,OAKLAND,WARREN,KONANAHALLII,
MINOR,N2983,BORIN BOICE INC,892 ORCHARD LAKE RD,PONTIAC,48343,OAKLAND,WARREN,LIMF,"892 ORCHARD LAKE RD, PONTIAC, MI 48343"
SM OPT OUT,N3213,GROUND EFFECTS LLC,7000 NINETEEN MILE RD,STERLING HTS,48078,MACOMB,WARREN,KONANAHALLII,"7000 NINETEEN MILE RD, STERLING HTS, MI 48078"
,N1004,C A HULL CO INC,,ROYAL OAK,48073,OAKLAND,WARREN,KONANAHALLII,
MINOR,N4030,"KYRIE ENTERPRISES, LLC DBA K. P. SOGOIAN MFG.",4336 NORMANDY CT,ROYAL OAK,48073,OAKLAND,WARREN,KONANAHALLII,"4336 NORMANDY CT, ROYAL OAK, MI 48073"
MINOR,A5095,"CREATIVE SOLUTIONS GROUP, INC.",1250 CROOKS RD,CLAWSON,48017,OAKLAND,WARREN,KONANAHALLII,"1250 CROOKS RD, CLAWSON, MI 48017"
MINOR,B6450,CARLESIMO PRODUCTS INC,29800 E EIGHT MILE RD,FARMINGTON,48336,OAKLAND,WARREN,KONANAHALLII,"29800 E EIGHT MILE RD, FARMINGTON, MI 48336"
MINOR,N1156,TRANSFLO TERMINAL,30500 WIXOM RD,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"30500 WIXOM RD, WIXOM, MI 48393"
MINOR,N2007,ATLAS IMPORT AND EXPORT,10710 GALAXIE,FERNDALE,48220,OAKLAND,WARREN,KONANAHALLII,"10710 GALAXIE, FERNDALE, MI 48220"
MINOR,B6282,CLAWSON CONCRETE CO,51777 W TWELVE MILE RD,WIXOM,48096,OAKLAND,WARREN,PINGAR,"51777 W TWELVE MILE RD, WIXOM, MI 48096"
MINOR,N6284,CLAWSON CONCRETE CO,19280 W EIGHT MILE RD,SOUTHFIELD,48075,OAKLAND,WARREN,LIVESONS1,"19280 W EIGHT MILE RD, SOUTHFIELD, MI 48075"
,B8637,CLAWSON CONCRETE CO,,PORT HURON,,SAINT CLAIR,WARREN,JOSEPHR4,
MINOR,B6283,CLAWSON CONCRETE CO,6127 HIGHLAND RD; M-59,WATERFORD,48327,OAKLAND,WARREN,JOSEPHR4,"6127 HIGHLAND RD; M-59, WATERFORD, MI 48327"
,B6284,CLAWSON CONCRETE CO,19280 W EIGHT MILE RD,SOUTHFIELD,48075,OAKLAND,WARREN,KONANAHALLII,"19280 W EIGHT MILE RD, SOUTHFIELD, MI 48075"
MINOR,N0976,CLAWSON CONCRETE CO,6700 SIMS DR,STERLING HTS,48078,MACOMB,WARREN,JOSEPHR4,"6700 SIMS DR, STERLING HTS, MI 48078"
MINOR,N1918,CLAWSON CONCRETE CO,CSX RAILROAD YARD,WIXOM,48393,OAKLAND,WARREN,PINGAR,"CSX RAILROAD YARD, WIXOM, MI 48393"
MINOR,G2957,CONLEY SIGN CO INC,5058 LEAFDALE,ROYAL OAK,48073,OAKLAND,WARREN,KONANAHALLII,"5058 LEAFDALE, ROYAL OAK, MI 48073"
,G4338,CONSTRUCTION EQUIPMENT COM,21720 W EIGHT MILE RD,SOUTHFIELD,48075,OAKLAND,WARREN,KONANAHALLII,"21720 W EIGHT MILE RD, SOUTHFIELD, MI 48075"
MINOR,N2709,"FIRE DEFENSE RESEARCH, LLC",4350 Delemere Blvd.,ROYAL OAK,48073,OAKLAND,WARREN,KONANAHALLII,"4350 Delemere Blvd., ROYAL OAK, MI 48073"
MINOR,N7946,MAGNA STEYR,4121 N ATLANTIC BLVD,AUBURN HILLS,48326,OAKLAND,WARREN,KONANAHALLII,"4121 N ATLANTIC BLVD, AUBURN HILLS, MI 48326"
MINOR,N2603,"INTEVA PRODUCTS, LLC.",1401 CROOKS RD,TROY,48084,OAKLAND,WARREN,KONANAHALLII,"1401 CROOKS RD, TROY, MI 48084"
SM OPT OUT,N1127,DENSO INTERNATIONAL AMERICA INC,24777 DENSO DR,SOUTHFIELD,48034,OAKLAND,WARREN,LEFFERTK,"24777 DENSO DR, SOUTHFIELD, MI 48034"
MINOR,A5153,PARAMOUNT PRECISION PRODUCTS PLANT 2,26659 HARDING AVE,OAK PARK,48237,OAKLAND,WARREN,KONANAHALLII,"26659 HARDING AVE, OAK PARK, MI 48237"
MINOR,N3922,DIAMOND AUTOMATION INC,23400 HAGGERTY RD,FARMINGTN HLS,48335,OAKLAND,WARREN,KONANAHALLII,"23400 HAGGERTY RD, FARMINGTN HLS, MI 48335"
MINOR,N0488,DON DAVID INC,501 WOODWARD HEIGHTS,FERNDALE,48220,OAKLAND,WARREN,KONANAHALLII,"501 WOODWARD HEIGHTS, FERNDALE, MI 48220"
MINOR,B5465,DRAYTON IRON AND METAL CO,5229 WILLIAMS LAKE RD,DRAYTON PLNS,48020,OAKLAND,WARREN,BOGNARA1,"5229 WILLIAMS LAKE RD, DRAYTON PLNS, MI 48020"
MINOR,N3778,"RAY BUILDING MATERIALS, INC.",24440 TELEGRAPH RD,SOUTHFIELD,48075,OAKLAND,WARREN,KONANAHALLII,"24440 TELEGRAPH RD, SOUTHFIELD, MI 48075"
MINOR,N3691,GERBER COLLISION AND GLASS,3055 W MAPLE ST,COMMERCE TWP,48390,OAKLAND,WARREN,KONANAHALLII,"3055 W MAPLE ST, COMMERCE TWP, MI 48390"
MINOR,N4992,DYNEX INDUSTRIES INC,23426 INDUSTRIAL PARK COURT,FARMINGTN HLS,48335,OAKLAND,WARREN,KONANAHALLII,"23426 INDUSTRIAL PARK COURT, FARMINGTN HLS, MI 48335"
MINOR,N0994,"AUTOMETRIC COLLISION OF TROY, INC.",1728 MAPLELAWN,TROY,48084,OAKLAND,WARREN,KONANAHALLII,"1728 MAPLELAWN, TROY, MI 48084"
MINOR,N2719,ELECTROFORMED PRODUCTS INC,1921 BELLAIRE AVE,ROYAL OAK,48067,OAKLAND,WARREN,KONANAHALLII,"1921 BELLAIRE AVE, ROYAL OAK, MI 48067"
MINOR,N0079,"BELLAIRE INDUSTRIES, INC.",1921 BELLAIRE AVE,ROYAL OAK,48067,OAKLAND,WARREN,KONANAHALLII,"1921 BELLAIRE AVE, ROYAL OAK, MI 48067"
MINOR,B4343,"EASTSIDE CONCRETE, MCCOIG MATERIALS, LLC",23055 GROESBECK HWY,WARREN,48089,MACOMB,WARREN,KONANAHALLII,"23055 GROESBECK HWY, WARREN, MI 48089"
,N1671,FARMINGTON HILLS COLLISION,2325 W MAPLE RD,WALLED LAKE,48390,OAKLAND,WARREN,SEIDELT,"2325 W MAPLE RD, WALLED LAKE, MI 48390"
MINOR,N7951,"MRP PROPERTIES COMPANY, LLC",1925 E SUPERIOR ST,ALMA,48801,GRATIOT,LANSING,LUPLOWM1,"1925 E SUPERIOR ST, ALMA, MI 48801"
MINOR,A5290,FERNDALE LABORATORIES INC,780 W EIGHT MILE RD,FERNDALE,48220,OAKLAND,WARREN,KONANAHALLII,"780 W EIGHT MILE RD, FERNDALE, MI 48220"
,N3756,FIRST SOURCE INC,13 STEVENS ST,PONTIAC,48341,OAKLAND,WARREN,AHAMMODS,"13 STEVENS ST, PONTIAC, MI 48341"
MINOR,B8709,"AMERICAN AXLE MANUFACTURING, LLC",2727 W FOURTEEN MILE RD,ROYAL OAK,48073,OAKLAND,WARREN,KONANAHALLII,"2727 W FOURTEEN MILE RD, ROYAL OAK, MI 48073"
MINOR,A5089,"QUALITY WAY PRODUCTS, INC.",407 HADLEY,HOLLY,48442,OAKLAND,WARREN,KONANAHALLII,"407 HADLEY, HOLLY, MI 48442"
MINOR,N3903,POLYFLEX PRODUCTS,23093 COMMERCE DR,FARMINGTON,48335,OAKLAND,WARREN,KONANAHALLII,"23093 COMMERCE DR, FARMINGTON, MI 48335"
SM OPT OUT,B8919,GREAT LAKES RUBBER CO INC,30573 BECK RD,WIXOM,48393,OAKLAND,WARREN,LEFFERTK,"30573 BECK RD, WIXOM, MI 48393"
MINOR,N1689,GREEN OAK INDUSTRIES,12622 W TEN MILE RD,SOUTH LYON,48178,OAKLAND,WARREN,KONANAHALLII,"12622 W TEN MILE RD, SOUTH LYON, MI 48178"
MINOR,A4693,GUARDIAN INDUSTRIES CORP,43043 W NINE MILE RD,NORTHVILLE,48167,OAKLAND,WARREN,KONANAHALLII,"43043 W NINE MILE RD, NORTHVILLE, MI 48167"
MINOR,M4219,HAROLD FOGLER,3320 N ROCHESTER RD,ROCHESTER,48306,OAKLAND,WARREN,KONANAHALLII,"3320 N ROCHESTER RD, ROCHESTER, MI 48306"
,G3186,HOLCOMB INDUSTRIES INC,40900 GRAND RIVER AVE,FARMINGTON,48376,OAKLAND,WARREN,KONANAHALLII,"40900 GRAND RIVER AVE, FARMINGTON, MI 48376"
MINOR,N0713,HOLLOWAY SAND AND GRAVEL,29250 WIXOM RD,WIXOM,,OAKLAND,WARREN,KONANAHALLII,
,N1417,HOLLY REDIMIX,15176 HAWLEY RD,HOLLY,48442,OAKLAND,WARREN,KONANAHALLII,"15176 HAWLEY RD, HOLLY, MI 48442"
,N3786,HUNTINGTON FORD INC,440 E SECOND ST,ROCHESTER,48307,OAKLAND,WARREN,KONANAHALLII,"440 E SECOND ST, ROCHESTER, MI 48307"
SM OPT OUT,N2721,DELPHI AUTOMOTIVE SYSTEMS LLC,3000 UNIVERSITY DR,AUBURN HILLS,48326,OAKLAND,WARREN,DZIADOSZM,"3000 UNIVERSITY DR, AUBURN HILLS, MI 48326"
,A5104,JENSEN INC,24115 INDUSTRIAL PARK,FARMINGTON,48335,OAKLAND,WARREN,KONANAHALLII,"24115 INDUSTRIAL PARK, FARMINGTON, MI 48335"
SM OPT OUT,N3789,JOSEPH LUNGHAMER CHEVROLET INC,475 SUMMIT DR,WATERFORD,48328,OAKLAND,WARREN,LEFFERTK,"475 SUMMIT DR, WATERFORD, MI 48328"
MINOR,N3284,KITCHEN TOP SHOP INC,31150 W EIGHT MILE RD,FARMINGTN HLS,48336,OAKLAND,WARREN,KONANAHALLII,"31150 W EIGHT MILE RD, FARMINGTN HLS, MI 48336"
MINOR,A5026,ALL AMERICAN PET RESORT,4227 DELEMERE BLVD,ROYAL OAK,48073,OAKLAND,WARREN,KONANAHALLII,"4227 DELEMERE BLVD, ROYAL OAK, MI 48073"
MINOR,N5718,L & L PRODUCTS INC,160 MCLEAN,ROMEO,48065,MACOMB,WARREN,KONANAHALLII,"160 MCLEAN, ROMEO, MI 48065"
,N0916,LASER LAB INC,,FARMINGTON,,OAKLAND,WARREN,KONANAHALLII,
MINOR,B7620,JOLLY SERVICE GAS STATION,3280 ELEVEN MILE RD,BERKLEY,48072,OAKLAND,WARREN,KONANAHALLII,"3280 ELEVEN MILE RD, BERKLEY, MI 48072"
,N3699,MAACO AUTO PAINTING AND BODYWORK,32754 W EIGHT MILE RD,FARMINGTON,48336,OAKLAND,WARREN,KONANAHALLII,"32754 W EIGHT MILE RD, FARMINGTON, MI 48336"
,M3523,MAACO AUTO PAINTING AND BODYWORK,6295 HIGHLAND RD,WATERFORD,48327,OAKLAND,WARREN,ZHUJ,"6295 HIGHLAND RD, WATERFORD, MI 48327"
MINOR,B6434,DETROIT MEDICAL CENTER (DMC) SURGICAL HOSPITAL,30671 STEPHENSON HWY,MADISON HTS,48327,OAKLAND,WARREN,KONANAHALLII,"30671 STEPHENSON HWY, MADISON HTS, MI 48327"
MINOR,N2758,MANSFIELD CABINETS,45033 GRAND RIVER,NOVI,49375,OAKLAND,WARREN,KONANAHALLII,"45033 GRAND RIVER, NOVI, MI 49375"
,N2713,MARCO WOOD PRODUCTS INC,2000 EASY ST,WALLED LAKE,48390,OAKLAND,WARREN,KONANAHALLII,"2000 EASY ST, WALLED LAKE, MI 48390"
MINOR,N2226,MARKETING DISPLAYS INC,38271 W TWELVE MILE RD,FARMINGTN HLS,48331,OAKLAND,WARREN,KONANAHALLII,"38271 W TWELVE MILE RD, FARMINGTN HLS, MI 48331"
SM OPT OUT,N7952,WARD LAKE ENERGY,SE NE SEC 9 T30N R01W,CHARLTON TWP,49735,OTSEGO,GAYLORD,ROGERSW,"SE NE SEC 9 T30N R01W, CHARLTON TWP, MI 49735"
MINOR,N7953,STURGEON MILLWORK & LUMBER CO,W4365 STURGEON MILL RD,VULCAN,49892,DICKINSON,MARQUETTE,SCANLANJ,"W4365 STURGEON MILL RD, VULCAN, MI 49892"
MINOR,N0774,ETNA SUPPLY COMPANY,,WIXOM,,OAKLAND,WARREN,KONANAHALLII,
MINOR,G4604,MEILINK STEEL SAFE CO,24800 NOVI RD,OAK PARK,48237,OAKLAND,WARREN,KONANAHALLII,"24800 NOVI RD, OAK PARK, MI 48237"
MINOR,N2086,MICHIGAN CAT,24800 NOVI RD,NOVI,48375,OAKLAND,WARREN,KALLUMKALS,"24800 NOVI RD, NOVI, MI 48375"
,B6474,MICHIGAN CONSOLIDATED GAS CO,255 ROWE RD,MILFORD,48381,OAKLAND,WARREN,KONANAHALLII,"255 ROWE RD, MILFORD, MI 48381"
,B6475,MICHIGAN CONSOLIDATED GAS CO,1745 N DUCK LAKE RD,MILFORD,48381,OAKLAND,WARREN,KONANAHALLII,"1745 N DUCK LAKE RD, MILFORD, MI 48381"
,B6473,MICHIGAN CONSOLIDATED GAS CO - EVERGREEN,20920 EVERGREEN,SOUTHFIELD,,OAKLAND,WARREN,KONANAHALLII,
,B3260,MIDWEST BRIDGE CO,PO BOX 265,HAZEL PARK,,OAKLAND,WARREN,KONANAHALLII,
,F9192,MILFORD REDI MIX,,MILFORD,,OAKLAND,WARREN,KONANAHALLII,
MINOR,A5663,MILLS PRODUCTS INC,33106 W EIGHT MILE RD,FARMINGTON,,OAKLAND,WARREN,AMERU,
MINOR,B5766,MINISTRELLI CONSTRUCTION CO,,NOVI,,OAKLAND,WARREN,BOGNARA1,
MINOR,N3602,MOELLER MANUFACTURING CO,30100 BECK RD,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"30100 BECK RD, WIXOM, MI 48393"
MINOR,A4420,KIMBERLY LED LIGHTING,5827 TEREX DR,CLARKSTON,,OAKLAND,WARREN,KALLUMKALS,
MINOR,N1928,MORTON THIOKOL INC,ROCHESTERS HILLS CORP,ROCHESTER HLS,48057,OAKLAND,WARREN,KONANAHALLII,"ROCHESTERS HILLS CORP, ROCHESTER HLS, MI 48057"
MINOR,N0836,MUTUAL DIE CASTING CO,33400 W NINE MILE RD,FARMINGTON,48336,OAKLAND,WARREN,KONANAHALLII,"33400 W NINE MILE RD, FARMINGTON, MI 48336"
,B7021,NATIONAL ASPHALT PAVING,,DRYDEN,,LAPEER,LANSING,MCGEEND,
MINOR,A5049,FERBER WAREHOUSING,6841 North Rochester Road,ROCHESTER HLS,48306,OAKLAND,WARREN,KONANAHALLII,"6841 North Rochester Road, ROCHESTER HLS, MI 48306"
,N7947,ND INDUSTRIES,1819 THUNDERBIRD RD,TROY,,OAKLAND,WARREN,KONANAHALLII,
,B5181,NI INDUSTRIES,,MOUNT CLEMENS,,MACOMB,WARREN,KONANAHALLII,
MINOR,N3798,NORTHERN AMPOWER CORP,47087 GRAND RIVER AVE,NOVI,48374,OAKLAND,WARREN,KONANAHALLII,"47087 GRAND RIVER AVE, NOVI, MI 48374"
,N2973,NORTHERN PLASTICS INC,6137 PRODUCT DR,STERLING HTS,48077,OAKLAND,WARREN,KONANAHALLII,"6137 PRODUCT DR, STERLING HTS, MI 48077"
MINOR,B8645,NUMATICS INC,28900 WALL ST,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"28900 WALL ST, WIXOM, MI 48393"
MINOR,B8701,NUMATICS INC,29300 WALL ST,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"29300 WALL ST, WIXOM, MI 48393"
,F9026,NUPRIN CORP,520 WOODWARD AVE,ROCHESTER,48063,OAKLAND,WARREN,KONANAHALLII,"520 WOODWARD AVE, ROCHESTER, MI 48063"
MINOR,K2775,OAKLAND TECHNICAL CENTER,1000 BECK RD,WALLED LAKE,48390,OAKLAND,WARREN,KONANAHALLII,"1000 BECK RD, WALLED LAKE, MI 48390"
,N1931,OAKLAND TECHNICAL CENTER,8211 BIG LAKE RD,CLARKSTON,48346,OAKLAND,WARREN,KONANAHALLII,"8211 BIG LAKE RD, CLARKSTON, MI 48346"
MINOR,N5095,OAKS CONCRETE PRODUCTS INC,51744 PONTIAC TRAIL,WIXOM,48393,OAKLAND,WARREN,KONANAHALLII,"51744 PONTIAC TRAIL, WIXOM, MI 48393"
