source_id,doc_type,date,doc_url
U501700825,SAR,20170209,https://www.egle.state.mi.us/aps/downloads/srn/U501700825/U501700825_SAR_20170209.pdf
U501601738,SAR,20160226,https://www.egle.state.mi.us/aps/downloads/srn/U501601738/U501601738_SAR_20160226.pdf
U502100242,ASBVN,20210423,https://www.egle.state.mi.us/aps/downloads/srn/U502100242/U502100242_ASBVN_20210423.pdf
U502100242,VN,20210622,https://www.egle.state.mi.us/aps/downloads/srn/U502100242/U502100242_VN_20210622.pdf
U501601736,SAR,20160223,https://www.egle.state.mi.us/aps/downloads/srn/U501601736/U501601736_SAR_20160223.pdf
U501505836,SAR,20150701,https://www.egle.state.mi.us/aps/downloads/srn/U501505836/U501505836_SAR_20150701.pdf
U501501393,SAR,20150224,https://www.egle.state.mi.us/aps/downloads/srn/U501501393/U501501393_SAR_20150224.pdf
U501604278,SAR,20160428,https://www.egle.state.mi.us/aps/downloads/srn/U501604278/U501604278_SAR_20160428.pdf
U502004021,SAR,20201117,https://www.egle.state.mi.us/aps/downloads/srn/U502004021/U502004021_SAR_20201117.pdf
U631908774,SAR,20190724,https://www.egle.state.mi.us/aps/downloads/srn/U631908774/U631908774_SAR_20190724.pdf
U741601170,ASBVN,20160321,https://www.egle.state.mi.us/aps/downloads/srn/U741601170/U741601170_ASBVN_20160321.pdf
U742103434,SAR,20210707,https://www.egle.state.mi.us/aps/downloads/srn/U742103434/U742103434_SAR_20210707.pdf
U742103890,ASBVN,20210804,https://www.egle.state.mi.us/aps/downloads/srn/U742103890/U742103890_ASBVN_20210804.pdf
U742000292,ASBVN,20200306,https://www.egle.state.mi.us/aps/downloads/srn/U742000292/U742000292_ASBVN_20200306.pdf
U742000292,ASBVN,20200407,https://www.egle.state.mi.us/aps/downloads/srn/U742000292/U742000292_ASBVN_20200407.pdf
U741611176,SAR,20161102,https://www.egle.state.mi.us/aps/downloads/srn/U741611176/U741611176_SAR_20161102.pdf
U502000395,ASBVN,20200420,https://www.egle.state.mi.us/aps/downloads/srn/U502000395/U502000395_ASBVN_20200420.pdf
U502001810,ASBVN,20200608,https://www.egle.state.mi.us/aps/downloads/srn/U502001810/U502001810_ASBVN_20200608.pdf
U502001810,ASBVN,20200708,https://www.egle.state.mi.us/aps/downloads/srn/U502001810/U502001810_ASBVN_20200708.pdf
U501801646,ASBVN,20180323,https://www.egle.state.mi.us/aps/downloads/srn/U501801646/U501801646_ASBVN_20180323.pdf
U501809157,SAR,20181002,https://www.egle.state.mi.us/aps/downloads/srn/U501809157/U501809157_SAR_20181002.pdf
U501906362,SAR,20190611,https://www.egle.state.mi.us/aps/downloads/srn/U501906362/U501906362_SAR_20190611.pdf
U501807309,SAR,20180809,https://www.egle.state.mi.us/aps/downloads/srn/U501807309/U501807309_SAR_20180809.pdf
U501704880,ASBVN,20170802,https://www.egle.state.mi.us/aps/downloads/srn/U501704880/U501704880_ASBVN_20170802.pdf
U631512639,ASBVN,20151112,https://www.egle.state.mi.us/aps/downloads/srn/U631512639/U631512639_ASBVN_20151112.pdf
U631501527,SAR,20150306,https://www.egle.state.mi.us/aps/downloads/srn/U631501527/U631501527_SAR_20150306.pdf
U631601864,SAR,20160303,https://www.egle.state.mi.us/aps/downloads/srn/U631601864/U631601864_SAR_20160303.pdf
U631501295,SAR,20150225,https://www.egle.state.mi.us/aps/downloads/srn/U631501295/U631501295_SAR_20150225.pdf
U631501526,SAR,20150306,https://www.egle.state.mi.us/aps/downloads/srn/U631501526/U631501526_SAR_20150306.pdf
U631500948,SAR,20150211,https://www.egle.state.mi.us/aps/downloads/srn/U631500948/U631500948_SAR_20150211.pdf
U631504719,SAR,20150608,https://www.egle.state.mi.us/aps/downloads/srn/U631504719/U631504719_SAR_20150608.pdf
U631501415,SAR,20150225,https://www.egle.state.mi.us/aps/downloads/srn/U631501415/U631501415_SAR_20150225.pdf
U632104211,ASBVN,20210903,https://www.egle.state.mi.us/aps/downloads/srn/U632104211/U632104211_ASBVN_20210903.pdf
U631800657,SAR,20180118,https://www.egle.state.mi.us/aps/downloads/srn/U631800657/U631800657_SAR_20180118.pdf
U631703385,SAR,20170421,https://www.egle.state.mi.us/aps/downloads/srn/U631703385/U631703385_SAR_20170421.pdf
U631809155,SAR,20181002,https://www.egle.state.mi.us/aps/downloads/srn/U631809155/U631809155_SAR_20181002.pdf
U631508688,SAR,20150804,https://www.egle.state.mi.us/aps/downloads/srn/U631508688/U631508688_SAR_20150804.pdf
U631510427,SAR,20150924,https://www.egle.state.mi.us/aps/downloads/srn/U631510427/U631510427_SAR_20150924.pdf
U741807773,SAR,20180911,https://www.egle.state.mi.us/aps/downloads/srn/U741807773/U741807773_SAR_20180911.pdf
U631910206,ASBVN,20191118,https://www.egle.state.mi.us/aps/downloads/srn/U631910206/U631910206_ASBVN_20191118.pdf
U631910206,ENFN,20200113,https://www.egle.state.mi.us/aps/downloads/srn/U631910206/U631910206_ENFN_20200113.pdf
U632104247,ASBVN,20210903,https://www.egle.state.mi.us/aps/downloads/srn/U632104247/U632104247_ASBVN_20210903.pdf
U632100334,SAR,20210129,https://www.egle.state.mi.us/aps/downloads/srn/U632100334/U632100334_SAR_20210129.pdf
U632002056,ASBVN,20200629,https://www.egle.state.mi.us/aps/downloads/srn/U632002056/U632002056_ASBVN_20200629.pdf
U632003160,ACO,20210928,https://www.egle.state.mi.us/aps/downloads/srn/U632003160/U632003160_ACO_20210928.pdf
U632003160,ASBVN2,20201012,https://www.egle.state.mi.us/aps/downloads/srn/U632003160/U632003160_ASBVN2_20201012.pdf
U632003160,ASBVN,20201012,https://www.egle.state.mi.us/aps/downloads/srn/U632003160/U632003160_ASBVN_20201012.pdf
